case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C002,uniform,0.9,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0200637,0.0,0.0022293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C002,uniform,0.9,0.1,0.0,0.0,0.1,2.631578947368421,1,2.20356e-08,4.613e-10,1.56779e-20,0.0200629,6.50096e-07,0.00222592,1.15493e-06,6.09123e-09,9.41043e-13,7.10026e-13,2.61628e-16,7.92193e-09,2.64085e-08
C002,uniform,0.9,0.1,0.0,0.0,0.400001,10.526342105263158,2,3.35564e-07,1.84456e-09,3.52198e-18,0.0200608,2.38795e-06,0.00221581,4.55682e-06,9.04947e-08,5.66198e-11,4.25149e-11,8.58409e-14,6.99083e-08,2.66974e-08
C002,uniform,0.9,0.1,0.0,0.0,0.700002,18.42110526315789,3,9.67075e-07,3.23925e-09,2.94638e-17,0.0200586,3.81708e-06,0.0022057,7.87738e-06,2.55793e-07,2.88672e-10,2.15628e-10,8.19868e-13,1.34272e-07,2.66873e-08
C002,uniform,0.9,0.1,0.0,0.0,1.0,26.31578947368421,4,1.85849e-06,4.65968e-09,1.10376e-16,0.0200564,4.99357e-06,0.00219559,1.11303e-05,4.86886e-07,8.00752e-10,5.95555e-10,3.35855e-12,1.90444e-07,2.66748e-08
C002,uniform,0.9,0.1,0.0,0.0,1.3,34.21052631578947,5,2.96224e-06,6.1185e-09,2.86452e-16,0.0200542,5.96298e-06,0.00218549,1.43249e-05,7.73261e-07,1.67952e-09,1.244e-09,9.36134e-12,2.38738e-07,2.66602e-08
C002,uniform,0.9,0.1,0.0,0.0,1.6,42.10526315789474,6,4.23922e-06,7.62661e-09,6.02274e-16,0.020052,6.7617e-06,0.0021754,1.74683e-05,1.10673e-06,2.99855e-09,2.21256e-09,2.08994e-11,2.80196e-07,2.66431e-08
C002,uniform,0.9,0.1,0.0,0.0,2.0,52.631578947368425,7,6.15686e-06,9.73114e-09,1.323e-15,0.020049,7.61387e-06,0.00216196,2.15881e-05,1.61533e-06,5.54959e-09,4.0755e-09,4.92504e-11,3.26502e-07,2.66055e-08
C002,uniform,0.9,0.1,0.0,0.0,2.50001,65.78973684210527,8,8.81702e-06,1.25408e-08,2.87437e-15,0.0200452,8.41625e-06,0.00214519,2.66349e-05,2.33897e-06,1.01957e-08,7.44592e-09,1.1492e-10,3.7257e-07,2.65589e-08
C002,uniform,0.9,0.1,0.0,0.0,3.00001,78.94763157894737,9,1.16884e-05,1.55797e-08,5.37842e-15,0.0200415,9.00369e-06,0.00212845,3.15811e-05,3.14421e-06,1.66689e-08,1.21095e-08,2.28339e-10,4.08251e-07,2.65236e-08
C002,uniform,0.9,0.1,0.0,0.0,4.00001,105.26342105263156,10,1.78324e-05,2.24616e-08,1.4278e-14,0.0200338,9.75867e-06,0.00209509,4.11976e-05,4.96561e-06,3.57673e-08,2.57344e-08,6.66628e-10,4.57307e-07,2.63911e-08
C002,uniform,0.9,0.1,0.0,0.0,5.00001,131.5792105263158,11,2.42647e-05,3.05709e-08,3.01951e-14,0.0200262,1.01881e-05,0.0020619,5.05002e-05,7.0025e-06,6.41686e-08,4.57445e-08,1.51495e-09,4.86458e-07,2.63106e-08
C002,uniform,0.9,0.1,0.0,0.0,6.00001,157.89499999999998,12,3.08202e-05,4.00606e-08,5.54768e-14,0.0200184,1.04484e-05,0.00202889,5.95238e-05,9.21094e-06,1.02836e-07,7.26594e-08,2.94101e-09,5.03522e-07,2.62236e-08
C002,uniform,0.9,0.1,0.0,0.0,7.00002,184.21105263157892,13,3.74134e-05,5.10752e-08,9.25386e-14,0.0200106,1.06219e-05,0.00199606,6.82908e-05,1.15609e-05,1.52549e-07,1.06861e-07,5.12657e-09,5.13242e-07,2.61351e-08
C002,uniform,0.9,0.1,0.0,0.0,8.00002,210.52684210526317,14,4.39993e-05,6.37166e-08,1.43913e-13,0.0200027,1.07468e-05,0.00196342,7.68183e-05,1.40299e-05,2.13947e-07,1.48629e-07,8.27193e-09,5.18418e-07,2.60441e-08
C002,uniform,0.9,0.1,0.0,0.0,10.0,263.15789473684214,15,5.70689e-05,9.43852e-08,3.00412e-13,0.0199868,1.09195e-05,0.00189874,9.31804e-05,1.92774e-05,3.73677e-07,2.5546e-07,1.82327e-08,5.21276e-07,2.57615e-08
C002,uniform,0.9,0.1,0.0,0.0,12.0,315.7894736842105,16,6.99236e-05,1.32939e-07,5.47409e-13,0.0199708,1.10661e-05,0.00183486,0.000108719,2.48077e-05,5.86296e-07,3.94407e-07,3.44747e-08,5.19141e-07,2.55672e-08
C002,uniform,0.9,0.1,0.0,0.0,14.0,368.42105263157896,17,8.25414e-05,1.80134e-07,9.08897e-13,0.0199545,1.12021e-05,0.00177181,0.00012348,3.05454e-05,8.54393e-07,5.65613e-07,5.87194e-08,5.14837e-07,2.5369e-08
C002,uniform,0.9,0.1,0.0,0.0,16.0,421.0526315789474,18,9.49128e-05,2.36678e-07,1.41057e-12,0.019938,1.13307e-05,0.00170961,0.000137501,3.64276e-05,1.17998e-06,7.68711e-07,9.27468e-08,5.09237e-07,2.51623e-08
C002,uniform,0.9,0.1,0.0,0.0,18.0,473.6842105263158,19,0.00010703,3.03251e-07,2.07957e-12,0.0199214,1.14528e-05,0.00164827,0.000150814,4.24044e-05,1.56469e-06,1.00293e-06,1.3821e-07,5.03031e-07,2.49535e-08
C002,uniform,0.9,0.1,0.0,0.0,20.0001,526.3184210526316,20,0.000118891,3.80478e-07,2.94421e-12,0.0199046,1.15753e-05,0.00158781,0.000163434,4.84363e-05,2.00986e-06,1.2672e-06,1.9688e-07,4.96076e-07,2.47361e-08
C002,uniform,0.9,0.1,0.0,0.0,24.0001,631.5815789473685,21,0.000141887,5.69173e-07,5.38708e-12,0.0198705,1.17836e-05,0.00146958,0.000186639,6.0571e-05,3.08313e-06,1.87971e-06,3.60476e-07,4.81603e-07,2.41273e-08
C002,uniform,0.9,0.1,0.0,0.0,28.0001,736.8447368421052,22,0.000163822,8.06785e-07,9.01194e-12,0.0198357,1.20189e-05,0.00135504,0.000207294,7.25127e-05,4.40898e-06,2.59413e-06,5.95036e-07,4.65255e-07,2.36581e-08
C002,uniform,0.9,0.1,0.0,0.0,34.0001,894.7394736842107,23,0.000194873,1.26202e-06,1.73674e-11,0.0197821,1.23348e-05,0.00119032,0.000233583,8.97574e-05,6.87709e-06,3.82048e-06,1.10264e-06,4.39638e-07,2.27595e-08
C002,uniform,0.9,0.1,0.0,0.0,42.0001,1105.2657894736844,24,0.000232748,2.06759e-06,3.6053e-11,0.0197082,1.27827e-05,0.00098457,0.000260151,0.000110662,1.10799e-05,5.64906e-06,2.11778e-06,4.03552e-07,2.15399e-08
C002,uniform,0.9,0.1,0.0,0.0,50.0001,1315.792105263158,25,0.000266563,3.11362e-06,6.72572e-11,0.0196311,1.33382e-05,0.000795725,0.000277269,0.000128117,1.63579e-05,7.54834e-06,3.56181e-06,3.65146e-07,2.03562e-08
