case,Thermal,Epithermal,Resonance,Fast
M43-10,8.217,46.002,41.848,3.933
M43-15,9.31,42.347,43.863,4.48
M43-20,10.208,39.73,45.128,4.934
M43-25,10.969,37.799,45.911,5.321
M43-30,11.639,36.122,46.571,5.668
M43-5,6.824,51.355,38.573,3.248
M70-10,6.748,46.464,42.695,4.093
M70-15,7.652,42.953,44.724,4.671
M70-20,8.419,40.314,46.111,5.157
M70-25,9.048,38.321,47.063,5.568
M70-30,9.617,36.721,47.727,5.935
M70-5,5.599,51.833,39.197,3.371
M87-10,5.466,46.439,43.809,4.286
M87-15,6.206,43.033,45.873,4.889
M87-20,6.833,40.403,47.363,5.401
M87-25,7.359,38.485,48.317,5.839
M87-30,7.846,36.835,49.087,6.231
M87-5,4.509,51.891,40.078,3.521
