case,family,th_content_pct,n_th_rods,thermal_fraction_pct,Th_capture_rate_R_Th,NU233final,Th_capture_rate_per_rod
M43-10,M43,10,68,9.479787e+01,4.185400e+13,7.869090e-05,6.155000e+11
M43-15,M43,15,68,9.479468e+01,5.538770e+13,1.046040e-04,8.145250e+11
M43-20,M43,20,68,9.478998e+01,6.706240e+13,1.274030e-04,9.862118e+11
M43-25,M43,25,68,9.478378e+01,7.793740e+13,1.482840e-04,1.146138e+12
M43-30,M43,30,68,9.478191e+01,8.781880e+13,1.677230e-04,1.291453e+12
M43-5,M43,5,68,9.480457e+01,2.529850e+13,4.695790e-05,3.720368e+11
M70-10,M70,10,128,9.479525e+01,7.781630e+13,8.006750e-05,6.079398e+11
M70-15,M70,15,128,9.479529e+01,1.028550e+14,1.064340e-04,8.035547e+11
M70-20,M70,20,128,9.478948e+01,1.246050e+14,1.295600e-04,9.734766e+11
M70-25,M70,25,128,9.478137e+01,1.448820e+14,1.506810e-04,1.131891e+12
M70-30,M70,30,128,9.477948e+01,1.634350e+14,1.703740e-04,1.276836e+12
M70-5,M70,5,128,9.480805e+01,4.690200e+13,4.782890e-05,3.664219e+11
M87-10,M87,10,68,9.481085e+01,3.967810e+13,8.114790e-05,5.835015e+11
M87-15,M87,15,68,9.480611e+01,5.223910e+13,1.074630e-04,7.682221e+11
M87-20,M87,20,68,9.480532e+01,6.308840e+13,1.305600e-04,9.277706e+11
M87-25,M87,25,68,9.480611e+01,7.302160e+13,1.515320e-04,1.073847e+12
M87-30,M87,30,68,9.480109e+01,8.225890e+13,1.710250e-04,1.209690e+12
M87-5,M87,5,68,9.480609e+01,2.411050e+13,4.872790e-05,3.545662e+11
