case,family,th_content_pct,Th_atom_norm,R_Th_norm,R_Th_per_Th_atom_norm
M43-10,M43,10,2.000000e+00,1.654406e+00,8.272032e-01
M43-15,M43,15,3.000000e+00,2.189367e+00,7.297890e-01
M43-20,M43,20,4.000000e+00,2.650845e+00,6.627112e-01
M43-25,M43,25,5.000000e+00,3.080712e+00,6.161425e-01
M43-30,M43,30,6.000000e+00,3.471305e+00,5.785508e-01
M43-5,M43,5,1.000000e+00,1.000000e+00,1.000000e+00
M70-10,M70,10,2.000000e+00,1.659125e+00,8.295627e-01
M70-15,M70,15,3.000000e+00,2.192977e+00,7.309923e-01
M70-20,M70,20,4.000000e+00,2.656710e+00,6.641774e-01
M70-25,M70,25,5.000000e+00,3.089037e+00,6.178073e-01
M70-30,M70,30,6.000000e+00,3.484606e+00,5.807677e-01
M70-5,M70,5,1.000000e+00,1.000000e+00,1.000000e+00
M87-10,M87,10,2.000000e+00,1.645677e+00,8.228386e-01
M87-15,M87,15,3.000000e+00,2.166654e+00,7.222178e-01
M87-20,M87,20,4.000000e+00,2.616636e+00,6.541590e-01
M87-25,M87,25,5.000000e+00,3.028622e+00,6.057245e-01
M87-30,M87,30,6.000000e+00,3.411746e+00,5.686243e-01
M87-5,M87,5,1.000000e+00,1.000000e+00,1.000000e+00
