case,water_density,burnup_step,burnup_MWd_kgHM,EFPD,ANA_KEFF,reactivity_pcm,conversion_ratio
A008_d040,0.4,0,0.0,0.0,0.777972,-28539.33046433548,1.57098
A008_d040,0.4,1,0.100001,2.631605263157895,0.777972,-28539.33046433548,1.57098
A008_d040,0.4,2,0.700004,18.42115789473684,0.752456,-32898.136236537415,1.60483
A008_d040,0.4,3,1.60001,42.105526315789476,0.752456,-32898.136236537415,1.60483
A008_d040,0.4,4,3.00002,78.94789473684212,0.748997,-33511.88322516645,1.57153
A008_d040,0.4,5,6.00003,157.89552631578948,0.748997,-33511.88322516645,1.57153
A008_d040,0.4,6,10.0001,263.16052631578947,0.758013,-31923.85882564018,1.50969
A008_d040,0.4,7,16.0001,421.05526315789473,0.758013,-31923.85882564018,1.50969
A008_d040,0.4,8,20.0001,526.3184210526316,0.775574,-28936.761675868456,1.43538
A008_d040,0.4,9,28.0002,736.8473684210527,0.775574,-28936.761675868456,1.43538
A008_d040,0.4,10,42.0002,1105.2684210526315,0.806481,-23995.481604650326,1.33526
A008_d040,0.4,11,50.0003,1315.7973684210529,0.806481,-23995.481604650326,1.33526
A008_d040,0.4,12,,,0.829753,-20517.792644317047,1.26393
A008_d040,0.4,13,,,0.829753,-20517.792644317047,1.26393
A008_d040,0.4,14,,,0.844406,-18426.444151273205,1.20905
A008_d040,0.4,15,,,0.844406,-18426.444151273205,1.20905
A008_d040,0.4,16,,,0.848659,-17832.95764258671,1.18552
A008_d040,0.4,17,,,0.848659,-17832.95764258671,1.18552
A008_d040,0.4,18,,,0.850226,-17615.786861375676,1.15739
A008_d040,0.4,19,,,0.850226,-17615.786861375676,1.15739
A008_d040,0.4,20,,,0.845033,-18338.573759841325,1.13029
A008_d040,0.4,21,,,0.845033,-18338.573759841325,1.13029
A008_d040,0.4,22,,,0.841752,-18799.836531424942,1.11714
A008_d040,0.4,23,,,0.841752,-18799.836531424942,1.11714
A008_d050,0.5,0,0.0,0.0,0.810656,-23356.8862748194,1.43117
A008_d050,0.5,1,0.1,2.6315789473684212,0.810656,-23356.8862748194,1.43117
A008_d050,0.5,2,0.700004,18.42115789473684,0.784239,-27512.148719969293,1.45977
A008_d050,0.5,3,1.60001,42.105526315789476,0.784239,-27512.148719969293,1.45977
A008_d050,0.5,4,3.00002,78.94789473684212,0.779332,-28315.01850302566,1.43874
A008_d050,0.5,5,6.00003,157.89552631578948,0.779332,-28315.01850302566,1.43874
A008_d050,0.5,6,10.0001,263.16052631578947,0.786329,-27173.231560835233,1.39083
A008_d050,0.5,7,16.0001,421.05526315789473,0.786329,-27173.231560835233,1.39083
A008_d050,0.5,8,20.0001,526.3184210526316,0.801438,-24775.71565111712,1.33163
A008_d050,0.5,9,28.0001,736.8447368421052,0.801438,-24775.71565111712,1.33163
A008_d050,0.5,10,42.0002,1105.2684210526315,0.82906,-20618.531831230546,1.24986
A008_d050,0.5,11,50.0003,1315.7973684210529,0.82906,-20618.531831230546,1.24986
A008_d050,0.5,12,,,0.849849,-17667.962190930393,1.19148
A008_d050,0.5,13,,,0.849849,-17667.962190930393,1.19148
A008_d050,0.5,14,,,0.861708,-16048.591866386289,1.14839
A008_d050,0.5,15,,,0.861708,-16048.591866386289,1.14839
A008_d050,0.5,16,,,0.864404,-15686.646521765293,1.1297
A008_d050,0.5,17,,,0.864404,-15686.646521765293,1.1297
A008_d050,0.5,18,,,0.863017,-15872.572614444438,1.10904
A008_d050,0.5,19,,,0.863017,-15872.572614444438,1.10904
A008_d050,0.5,20,,,0.8538,-17123.448114312483,1.08981
A008_d050,0.5,21,,,0.8538,-17123.448114312483,1.08981
A008_d050,0.5,22,,,0.848485,-17857.12181122824,1.08032
A008_d050,0.5,23,,,0.848485,-17857.12181122824,1.08032
A008_d060,0.6,0,0.0,0.0,0.832228,-20159.379400837275,1.33495
A008_d060,0.6,1,0.1,2.6315789473684212,0.832228,-20159.379400837275,1.33495
A008_d060,0.6,2,0.700003,18.42113157894737,0.80536,-24168.073904837594,1.35959
A008_d060,0.6,3,1.60001,42.105526315789476,0.80536,-24168.073904837594,1.35959
A008_d060,0.6,4,3.00001,78.94763157894737,0.79903,-25151.7464926223,1.34636
A008_d060,0.6,5,6.00003,157.89552631578948,0.79903,-25151.7464926223,1.34636
A008_d060,0.6,6,10.0,263.15789473684214,0.804182,-24349.960581062503,1.30925
A008_d060,0.6,7,16.0001,421.05526315789473,0.804182,-24349.960581062503,1.30925
A008_d060,0.6,8,20.0001,526.3184210526316,0.817295,-22354.841275182156,1.26084
A008_d060,0.6,9,28.0001,736.8447368421052,0.817295,-22354.841275182156,1.26084
A008_d060,0.6,10,42.0002,1105.2684210526315,0.842013,-18763.011972499236,1.19265
A008_d060,0.6,11,50.0002,1315.7947368421053,0.842013,-18763.011972499236,1.19265
A008_d060,0.6,12,,,0.860539,-16206.238183278148,1.14436
A008_d060,0.6,13,,,0.860539,-16206.238183278148,1.14436
A008_d060,0.6,14,,,0.870139,-14924.16728821487,1.10939
A008_d060,0.6,15,,,0.870139,-14924.16728821487,1.10939
A008_d060,0.6,16,,,0.871637,-14726.658000979767,1.09511
A008_d060,0.6,17,,,0.871637,-14726.658000979767,1.09511
A008_d060,0.6,18,,,0.868212,-15179.241936301274,1.07977
A008_d060,0.6,19,,,0.868212,-15179.241936301274,1.07977
A008_d060,0.6,20,,,0.856191,-16796.369034479452,1.06686
A008_d060,0.6,21,,,0.856191,-16796.369034479452,1.06686
A008_d060,0.6,22,,,0.849896,-17661.455048617718,1.05964
A008_d060,0.6,23,,,0.849896,-17661.455048617718,1.05964
A008_d070,0.7,0,0.0,0.0,0.846228,-18171.462064597254,1.26249
A008_d070,0.7,1,0.1,2.6315789473684212,0.846228,-18171.462064597254,1.26249
A008_d070,0.7,2,0.700003,18.42113157894737,0.819093,-22086.25882531044,1.28609
A008_d070,0.7,3,1.60001,42.105526315789476,0.819093,-22086.25882531044,1.28609
A008_d070,0.7,4,3.00001,78.94763157894737,0.811679,-23201.413366614135,1.27777
A008_d070,0.7,5,6.00003,157.89552631578948,0.811679,-23201.413366614135,1.27777
A008_d070,0.7,6,10.0,263.15789473684214,0.815336,-22648.822080712744,1.24841
A008_d070,0.7,7,16.0001,421.05526315789473,0.815336,-22648.822080712744,1.24841
A008_d070,0.7,8,20.0001,526.3184210526316,0.826623,-20974.132101332772,1.20824
A008_d070,0.7,9,28.0001,736.8447368421052,0.826623,-20974.132101332772,1.20824
A008_d070,0.7,10,42.0002,1105.2684210526315,0.848796,-17813.93880272763,1.15154
A008_d070,0.7,11,50.0002,1315.7947368421053,0.848796,-17813.93880272763,1.15154
A008_d070,0.7,12,,,0.865108,-15592.504057296894,1.11142
A008_d070,0.7,13,,,0.865108,-15592.504057296894,1.11142
A008_d070,0.7,14,,,0.872858,-14566.172275444573,1.08324
A008_d070,0.7,15,,,0.872858,-14566.172275444573,1.08324
A008_d070,0.7,16,,,0.873318,-14505.82720154628,1.07238
A008_d070,0.7,17,,,0.873318,-14505.82720154628,1.07238
A008_d070,0.7,18,,,0.868381,-15156.826323929248,1.0613
A008_d070,0.7,19,,,0.868381,-15156.826323929248,1.0613
A008_d070,0.7,20,,,0.854659,-17005.729770586873,1.05275
A008_d070,0.7,21,,,0.854659,-17005.729770586873,1.05275
A008_d070,0.7,22,,,0.847646,-17973.776788895364,1.04719
A008_d070,0.7,23,,,0.847646,-17973.776788895364,1.04719
A008_d076,0.76513,0,0.0,0.0,0.852314,-17327.651546261117,1.22605
A008_d076,0.76513,1,0.1,2.6315789473684212,0.852314,-17327.651546261117,1.22605
A008_d076,0.76513,2,0.700003,18.42113157894737,0.82519,-21184.2121208449,1.2476
A008_d076,0.76513,3,1.60001,42.105526315789476,0.82519,-21184.2121208449,1.2476
A008_d076,0.76513,4,3.00001,78.94763157894737,0.817135,-22378.799096844472,1.24192
A008_d076,0.76513,5,6.00003,157.89552631578948,0.817135,-22378.799096844472,1.24192
A008_d076,0.76513,6,10.0,263.15789473684214,0.819932,-21961.333378865565,1.21685
A008_d076,0.76513,7,16.0001,421.05526315789473,0.819932,-21961.333378865565,1.21685
A008_d076,0.76513,8,20.0001,526.3184210526316,0.830167,-20457.691042886552,1.18148
A008_d076,0.76513,9,28.0001,736.8447368421052,0.830167,-20457.691042886552,1.18148
A008_d076,0.76513,10,42.0002,1105.2684210526315,0.850734,-17545.554779754897,1.12981
A008_d076,0.76513,11,50.0002,1315.7947368421053,0.850734,-17545.554779754897,1.12981
A008_d076,0.76513,12,,,0.865885,-15488.777378058285,1.09458
A008_d076,0.76513,13,,,0.865885,-15488.777378058285,1.09458
A008_d076,0.76513,14,,,0.872401,-14626.186810881694,1.07103
A008_d076,0.76513,15,,,0.872401,-14626.186810881694,1.07103
A008_d076,0.76513,16,,,0.872359,-14631.705524904311,1.06145
A008_d076,0.76513,17,,,0.872359,-14631.705524904311,1.06145
A008_d076,0.76513,18,,,0.866716,-15378.047711130283,1.05255
A008_d076,0.76513,19,,,0.866716,-15378.047711130283,1.05255
A008_d076,0.76513,20,,,0.852198,-17343.62202211223,1.04597
A008_d076,0.76513,21,,,0.852198,-17343.62202211223,1.04597
A008_d076,0.76513,22,,,0.844838,-18365.887898034893,1.04151
A008_d076,0.76513,23,,,0.844838,-18365.887898034893,1.04151
