case,Th_level,U235_enrichment,Pu_level,EFPD_BS0,EFPD_BS25,burnup_MWd_kgHM_BS0,burnup_MWd_kgHM_BS25,ANA_KEFF_BS0,ANA_KEFF_BS25,dKeff,reactivity_pcm_BS0,reactivity_pcm_BS25,dReactivity_pcm,conversion_ratio_BS0,conversion_ratio_BS25,dCR
A004,0.3,0.02,0.0,0.0,1315.7947368421053,0.0,50.0002,0.992343,0.830551,-0.16179,-771.6082040181697,-20401.998191561983,-19630.4,0.924399,1.02606,0.10166
A005,0.3,0.03,0.0,0.0,1315.7947368421053,0.0,50.0002,1.12991,0.841726,-0.28818,11497.37589719535,-18803.506129072885,-30300.9,0.704105,0.996467,0.29236
A006,0.3,0.05,0.0,0.0,1315.7947368421053,0.0,50.0002,1.27308,0.891081,-0.382,21450.34090552047,-12223.243453737648,-33673.6,0.521734,0.883307,0.36157
A007,0.6,0.02,0.0,0.0,1315.7947368421053,0.0,50.0002,0.696585,0.844809,0.14822,-43557.498367033455,-18369.951077699214,25187.5,1.70986,1.04607,-0.66379
A008,0.6,0.03,0.0,0.0,1315.7947368421053,0.0,50.0002,0.852379,0.845595,-0.00678,-17318.704473010246,-18259.923485829506,-941.2,1.2254,1.04,-0.1854
A009,0.6,0.05,0.0,0.0,1315.7947368421053,0.0,50.0002,1.04254,0.85293,-0.18961,4080.418976729912,-17242.915596825067,-21323.3,0.834912,1.01453,0.17962
A010,0.9,0.02,0.0,0.0,1315.7947368421053,0.0,50.0002,0.239056,0.863764,0.62471,-318312.0273074092,-15772.363747505107,302539.7,6.99708,1.04682,-5.95026
A011,0.9,0.03,0.0,0.0,1315.7947368421053,0.0,50.0002,0.326902,0.863126,0.53622,-205902.07462787008,-15857.939628744823,190044.1,4.73684,1.047,-3.68984
A012,0.9,0.05,0.0,0.0,1315.7947368421053,0.0,50.0002,0.473315,0.862002,0.38869,-111275.78885097663,-16009.01158001953,95266.8,2.92577,1.04767,-1.8781
D019,0.9,0.02,0.04,0.0,1315.7947368421053,0.0,50.0002,1.3648,0.881404,-0.4834,26729.19109026964,-13455.35078125355,-40184.5,0.340585,0.954626,0.61404
D020,0.9,0.03,0.04,0.0,1315.7947368421053,0.0,50.0002,1.36635,0.884132,-0.48222,26812.3101694295,-13105.282921554695,-39917.6,0.338845,0.948462,0.60962
D021,0.9,0.05,0.04,0.0,1315.7947368421053,0.0,50.0002,1.36946,0.88956,-0.4799,26978.51707972485,-12415.126579432526,-39393.6,0.335887,0.934465,0.59858
D022,0.9,0.02,0.06,0.0,1315.7947368421053,0.0,50.0002,1.43115,0.974526,-0.45662,30126.122349159763,-2613.988749402273,-32740.1,0.284842,0.753453,0.46861
D023,0.9,0.03,0.06,0.0,1315.7947368421053,0.0,50.0002,1.43195,0.976373,-0.45558,30165.15939802368,-2419.8743717820907,-32585.0,0.284028,0.749649,0.46562
D024,0.9,0.05,0.06,0.0,1315.7947368421053,0.0,50.0002,1.43347,0.979947,-0.45352,30239.209749768048,-2046.335158942268,-32285.5,0.282415,0.742445,0.46003
D025,0.9,0.02,0.08,0.0,1315.7947368421053,0.0,50.0002,1.48304,1.05988,-0.42316,32570.93537598446,5649.696192021733,-26921.2,0.245281,0.60685,0.36157
D026,0.9,0.03,0.08,0.0,1315.7947368421053,0.0,50.0002,1.48342,1.06045,-0.42297,32588.20832940097,5700.410203215606,-26887.8,0.24478,0.605906,0.36113
D027,0.9,0.05,0.08,0.0,1315.7947368421053,0.0,50.0002,1.48399,1.06194,-0.42205,32614.101173188494,5832.721246021441,-26781.4,0.244152,0.603252,0.3591
