BURN_STEP,burnup_MWd_kgHM,EFPD,ANA_KEFF,reactivity_pcm
0,0.0,0.0,1.45214,31136.11635241781
1,0.1,2.6315789473684212,1.40517,28834.233580278546
2,0.400001,10.526342105263158,1.39707,28421.62525857688
3,0.700002,18.421105263157894,1.3915,28135.106000718646
4,1.0,26.315789473684212,1.38758,27932.083195203162
5,1.3,34.21052631578947,1.38416,27754.01687666166
6,1.60001,42.105526315789476,1.38108,27592.89831146639
7,2.00001,52.63184210526316,1.37699,27377.831356799976
8,2.50001,65.78973684210527,1.37191,27108.921139141778
9,3.00001,78.94763157894737,1.36669,26830.517527749525
10,4.00001,105.26342105263157,1.35613,26260.756712114624
11,5.00002,131.57947368421054,1.34555,25680.94831109955
12,6.00002,157.89526315789473,1.33474,25079.04161110029
13,7.00002,184.21105263157895,1.32411,24477.57361548511
14,8.00003,210.52710526315792,1.31357,23871.586592263826
15,10.0,263.15789473684214,1.29316,22670.048563209508
16,12.0,315.7894736842105,1.27342,21471.31347081089
17,14.0,368.42105263157896,1.25443,20282.51875353746
18,16.0001,421.05526315789473,1.23582,19082.06696768137
19,18.0001,473.68684210526317,1.21789,17890.778313312363
20,20.0001,526.3184210526316,1.20038,16693.047201719455
21,24.0001,631.5815789473685,1.16657,14278.611656394394
22,28.0001,736.8447368421052,1.13369,11792.46531238699
23,34.0001,894.7394736842107,1.08583,7904.552277980906
24,42.0002,1105.2684210526315,1.02409,2352.3323145426616
25,50.0002,1315.7947368421053,0.965006,-3626.298696588412
